Batch,Site,Latitude,Longitude,Subregion,Zone,fHabitat,Habitat,SiteComments,Team,TransectNum,Date,EndDepth,Surveyor,shared,Buddy,TransectComments,Species,Width,Height,Bleaching,OldMortality,RecentMortality,OtherRecentMortality,DiseaseRecentMoratlity,TLRate,dCondition,oCondition
2024B,AA1448,24.567439,-81.650747,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,1,9/11/2024,11,MABI7,0,,,OANN,20,20,Not Bleached,90,0,0,0,NULL,NULL,NULL
2024B,AA1448,24.567439,-81.650747,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,1,9/11/2024,11,MABI7,0,,,MCAV,25,20,Pale,0,0,0,0,NULL,NULL,NULL
2024B,AA1448,24.567439,-81.650747,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,1,9/11/2024,11,MABI7,0,,,OANN,50,25,Not Bleached,95,0,0,0,NULL,NULL,NULL
2024B,AA1448,24.567439,-81.650747,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,1,9/11/2024,11,MABI7,0,,,SSID,10,2,Not Bleached,0,0,0,0,NULL,NULL,NULL
2024B,AA1448,24.567439,-81.650747,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,1,9/11/2024,11,MABI7,0,,,SSID,15,3,Not Bleached,0,0,0,0,NULL,NULL,NULL
2024B,AA1448,24.567439,-81.650747,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,1,9/11/2024,11,MABI7,0,,,SSID,18,5,Not Bleached,30,0,0,0,NULL,NULL,NULL
2024B,AA1448,24.567439,-81.650747,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,1,9/11/2024,11,MABI7,0,,,SSID,10,2,Not Bleached,0,0,0,0,NULL,NULL,NULL
2024B,AA1448,24.567439,-81.650747,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,1,9/11/2024,11,MABI7,0,,,OANN,50,40,Not Bleached,95,0,0,0,NULL,NULL,NULL
2024B,AA1448,24.567439,-81.650747,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,1,9/11/2024,11,MABI7,0,,,SSID,25,10,Not Bleached,0,0,0,0,NULL,NULL,NULL
2024B,AA1448,24.567439,-81.650747,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,1,9/11/2024,11,MABI7,0,,,MCAV,15,3,Not Bleached,0,0,0,0,NULL,NULL,NULL
2024B,AA1448,24.567439,-81.650747,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,1,9/11/2024,11,MABI7,0,,,OANN,100,50,Not Bleached,80,0,0,0,NULL,NULL,NULL
2024B,AA1448,24.567439,-81.650747,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,1,9/11/2024,11,MABI7,0,,,SINT,25,20,Not Bleached,60,0,0,0,NULL,NULL,NULL
2024B,AA1448,24.567439,-81.650747,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,1,9/11/2024,11,MABI7,0,,,OANN,30,20,Not Bleached,70,0,0,0,NULL,NULL,NULL
2024B,AA1448,24.567439,-81.650747,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,1,9/11/2024,11,MABI7,0,,,MCAV,30,20,Not Bleached,60,0,0,0,NULL,NULL,NULL
2024B,AA1448,24.567439,-81.650747,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,1,9/11/2024,11,MABI7,0,,,SINT,25,20,Not Bleached,0,0,0,0,NULL,NULL,NULL
2024B,AA1448,24.567439,-81.650747,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,1,9/11/2024,11,MABI7,0,,,OANN,15,20,Not Bleached,60,0,0,0,NULL,NULL,NULL
2024B,AA1448,24.567439,-81.650747,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,1,9/11/2024,11,MABI7,0,,,OANN,70,60,Not Bleached,60,0,0,0,NULL,NULL,NULL
2024B,AA1448,24.567439,-81.650747,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,1,9/11/2024,11,MABI7,0,,,OANN,40,50,Not Bleached,90,0,0,0,NULL,NULL,NULL
2024B,AA1448,24.567439,-81.650747,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,1,9/11/2024,11,MABI7,0,,,SSID,10,2,Not Bleached,0,0,0,0,NULL,NULL,NULL
2024B,AA1448,24.567439,-81.650747,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,1,9/11/2024,11,MABI7,0,,,OANN,20,20,Not Bleached,0,0,0,0,NULL,NULL,NULL
2024B,AA1448,24.567439,-81.650747,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,1,9/11/2024,11,MABI7,0,,,SSID,20,10,Not Bleached,0,0,0,0,NULL,NULL,NULL
2024B,AA1448,24.567439,-81.650747,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,1,9/11/2024,11,MABI7,0,,,PAST,5,2,Not Bleached,0,0,0,0,NULL,NULL,NULL
2024B,AA1448,24.567439,-81.650747,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,1,9/11/2024,11,MABI7,0,,,MCAV,22,15,Not Bleached,0,0,0,0,NULL,NULL,NULL
2024B,AA1448,24.567439,-81.650747,Lower Keys,Inshore,Isolated Reef,ISOL_HR,,MOTE,1,9/11/2024,11,MABI7,0,,,OFAV,180,200,Not Bleached,45,0,0,0,NULL,NULL,NULL
